name,task_num,question_name,value,task_name
A13FUEPWBCLBUY,8,Q11optimizing_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q11optimizing_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q11optimizing_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q11optimizing_feedbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q11optimizing_feedbk,I had no troubles,Room assignment task
A2871R3LEPWMMK,16,Q11optimizing_feedbk,"While this task doesn't specify a precise amount of items to collect from the store, it does indicate rules about the items being high quality while also being within a time constraint and other elements that factor into the acquisition of the items which require precision.",Shopping plan
A341XKSRZ58FJK,22,Q11optimizing_feedbk,Odd that the format would move to a second page.,Room assignment task
A212OY08MFDGU3,16,Q11optimizing_feedbk,Yes; It wasn't concluded whether getting the most points and finding quality items was a precision event.,Shopping plan
A1I72NHC21347A,8,Q13out_mult_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q13out_mult_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q13out_mult_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q13out_mult_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q13out_mult_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q13out_mult_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q13out_mult_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q13out_mult_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q13out_mult_feedbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q13out_mult_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q13out_mult_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q13out_mult_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q13out_mult_feedbk,no trouble,Room assignment task
A1BHR5XQ16T7LA,22,Q13out_mult_feedbk,"While there is probably only one best answer, there are possibly multiple solutions that may satisfy all of the conditions, yet not be the best score you could obtain.",Room assignment task
A2IP3ZAFYGV8M9,8,Q13out_mult_feedbk,"Practically speaking I would say no, as different teams making vastly different lists could end up being equally valid, but because there is technically a set number of valid English words a theoretical complete list of every possible word would be the best possible answer, so I feel like that is correct.",Word completion given starting letter
A2VRDE2FHCBMF8,22,Q13out_mult_feedbk,I had no troubles,Room assignment task
A2871R3LEPWMMK,15,Q13out_mult_feedbk,"The tough aspect about this game is that it says there are limited colors with rules assigned to how to apply those colors so I came to the conclusion there seems more likely to be one ""best"" outcome depending on how many nodes and colors are supplied to work with in this situation.",Graph coloring task
A1I72NHC21347A,8,Q14sol_s_mult_fdbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q14sol_s_mult_fdbk,no,Graph coloring task
A1I72NHC21347A,16,Q14sol_s_mult_fdbk,no,Shopping plan
A1I72NHC21347A,22,Q14sol_s_mult_fdbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q14sol_s_mult_fdbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q14sol_s_mult_fdbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q14sol_s_mult_fdbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q14sol_s_mult_fdbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q14sol_s_mult_fdbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q14sol_s_mult_fdbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q14sol_s_mult_fdbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q14sol_s_mult_fdbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q14sol_s_mult_fdbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q14sol_s_mult_fdbk,I had no troubles,Room assignment task
A212OY08MFDGU3,15,Q14sol_s_mult_fdbk,"There is more than one method to color a whole map one color. However, this is only one action needed.",Graph coloring task
A212OY08MFDGU3,22,Q14sol_s_mult_fdbk,Yes. The planning that was required as an optional task is related to being open ended.,Room assignment task
A1I72NHC21347A,8,Q15d_verif_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q15d_verif_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q15d_verif_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q15d_verif_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q15d_verif_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q15d_verif_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q15d_verif_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q15d_verif_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q15d_verif_feedbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q15d_verif_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q15d_verif_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q15d_verif_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q15d_verif_feedbk,no trouble,Room assignment task
A2IP3ZAFYGV8M9,22,Q15d_verif_feedbk,"This one feels difficult to answer for certain.  I think there would be one optimal way of doing the task that is just objectively correct, but because there isn't a set criteria for the end result I think determining whether most solutions were right or not would be more subjective.",Room assignment task
A2VRDE2FHCBMF8,22,Q15d_verif_feedbk,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q16shared_kno_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q16shared_kno_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q16shared_kno_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q16shared_kno_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q16shared_kno_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q16shared_kno_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q16shared_kno_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q16shared_kno_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q16shared_kno_feedbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q16shared_kno_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q16shared_kno_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q16shared_kno_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q16shared_kno_feedbk,no trouble,Room assignment task
A1BHR5XQ16T7LA,8,Q16shared_kno_feedbk,"There are two definitive rules that have to be followed, the word must start with ""S"" and it must end with ""N""",Word completion given starting letter
A2VRDE2FHCBMF8,22,Q16shared_kno_feedbk,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q17within_sys_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q17within_sys_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q17within_sys_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q17within_sys_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q17within_sys_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q17within_sys_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q17within_sys_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q17within_sys_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q17within_sys_feedbk,Everything about this question in relation to a word generation task is confusing.,Word completion given starting letter
A13FUEPWBCLBUY,8,Q17within_sys_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q17within_sys_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q17within_sys_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q17within_sys_feedbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q17within_sys_feedbk,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q18ans_recog_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q18ans_recog_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q18ans_recog_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q18ans_recog_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q18ans_recog_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q18ans_recog_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q18ans_recog_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q18ans_recog_feedbk,no,Room assignment task
A3J2UG22S8BIW4,15,Q18ans_recog_feedbk,I am not certain how to answer this question given the task.,Graph coloring task
A21UA6O7ZFAIQJ,8,Q18ans_recog_feedbk,I did not,Word completion given starting letter
A21UA6O7ZFAIQJ,22,Q18ans_recog_feedbk,"I think some people might be confused, but that can be said about any problem/issue",Room assignment task
A13FUEPWBCLBUY,8,Q18ans_recog_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q18ans_recog_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q18ans_recog_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q18ans_recog_feedbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q18ans_recog_feedbk,I had no troubles,Room assignment task
A2871R3LEPWMMK,15,Q18ans_recog_feedbk,This was a bit tough in this scenario given that I've never played a game of this nature so I based it on the fact that there are clear rules to the scenario that must be followed.,Graph coloring task
A341XKSRZ58FJK,8,Q18ans_recog_feedbk,Some people may not know the words that participants are coming up with.,Word completion given starting letter
A1I72NHC21347A,8,Q19time_solv_feedbk,no,Word completion given starting letter
A1I72NHC21347A,16,Q19time_solv_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q19time_solv_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q19time_solv_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q19time_solv_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q19time_solv_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q19time_solv_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q19time_solv_feedbk,"This task has multiple answers, or has a single best answer given the number of individual answers generated.  I don't know how to answer the question based on my understanding of what a ""correct"" answer would be in this task.  Is ""correct answer"" referring to individual words generated, or is the group that generates the most correct answers considered to have given the ""correct answer"" and all other groups weren't correct.",Word completion given starting letter
A13FUEPWBCLBUY,8,Q19time_solv_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q19time_solv_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q19time_solv_feedbk,no trouble,Shopping plan
A2VRDE2FHCBMF8,22,Q19time_solv_feedbk,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q1concept_beh_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q1concept_beh_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q1concept_beh_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q1concept_beh_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q1concept_beh_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q1concept_beh_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q1concept_beh_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q1concept_beh_feedbk,no,Room assignment task
ACJ6NSCIWMUZI,8,Q1concept_beh_feedbk,no,Word completion given starting letter
A13FUEPWBCLBUY,8,Q1concept_beh_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q1concept_beh_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q1concept_beh_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q1concept_beh_feedbk,no trouble,Room assignment task
A2IQ0QCTQ3KWLT,8,Q1concept_beh_feedbk,no,Word completion given starting letter
A38DHLB88V8DL8,15,Q1concept_beh_feedbk,no,Graph coloring task
A2VRDE2FHCBMF8,22,Q1concept_beh_feedbk,I had no troubles,Room assignment task
A212OY08MFDGU3,16,Q1concept_beh_feedbk,The group task was focused on analytical thinking. You get more points by planning originally. The shopping task is the only physical part.,Shopping plan
A1PJLZSOUQ4MIL,8,Q1concept_beh_feedbk,no,Word completion given starting letter
A2ML0070M8FDK1,16,Q1concept_beh_feedbk,There will be physical tasks involved but the objective will be primarily mental.,Shopping plan
A1I72NHC21347A,8,Q20type_3_4_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q20type_3_4_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q20type_3_4_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q20type_3_4_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q20type_3_4_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q20type_3_4_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q20type_3_4_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q20type_3_4_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q20type_3_4_feedbk,"Again...are you asking about the individual correct answers or the overall number of correct answers generated?  I can prove the individual words are correct.  I can't prove my team ""won"" or was the ""most correct"" without more information.",Word completion given starting letter
A13FUEPWBCLBUY,8,Q20type_3_4_feedbk,There are many correct solutions.,Word completion given starting letter
A13FUEPWBCLBUY,15,Q20type_3_4_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q20type_3_4_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q20type_3_4_feedbk,no trouble,Room assignment task
A2IP3ZAFYGV8M9,16,Q20type_3_4_feedbk,"There is almost certainly one objectively ""best"" answer, though I am not certain if that is accurate to this question or not as there would also be a lot of answers that most people would accept as correct for just doing a relatively good job at the task.",Shopping plan
A2VRDE2FHCBMF8,22,Q20type_3_4_feedbk,I had no troubles,Room assignment task
A32Y2N9XYGNOJ1,15,Q20type_3_4_feedbk,"I'm unsure if the question allows for the existence of multiple ""demonstrable right answers"".",Graph coloring task
A1I72NHC21347A,8,Q21int_jud_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q21int_jud_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q21int_jud_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q21int_jud_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q21int_jud_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q21int_jud_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q21int_jud_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q21int_jud_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q21int_jud_feedbk,"I can prove the individual answers are correct.  I can't prove that the total number of generated words is ""correct""",Word completion given starting letter
A13FUEPWBCLBUY,8,Q21int_jud_feedbk,One can demonstrate many correct answers.,Word completion given starting letter
A13FUEPWBCLBUY,15,Q21int_jud_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q21int_jud_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q21int_jud_feedbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q21int_jud_feedbk,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q22con_trade_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q22con_trade_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q22con_trade_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q22con_trade_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q22con_trade_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q22con_trade_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q22con_trade_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q22con_trade_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q22con_trade_feedbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q22con_trade_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q22con_trade_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q22con_trade_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q22con_trade_feedbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q22con_trade_feedbk,I had no troubles,Room assignment task
A212OY08MFDGU3,22,Q22con_trade_feedbk,"They have to maximize the students' utility in the task. There will be tradeoffs in planning, I think.",Room assignment task
A1I72NHC21347A,8,Q23ss_outc_u_feedbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q23ss_outc_u_feedbk,no,Graph coloring task
A1I72NHC21347A,16,Q23ss_outc_u_feedbk,no,Shopping plan
A1I72NHC21347A,22,Q23ss_outc_u_feedbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q23ss_outc_u_feedbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q23ss_outc_u_feedbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q23ss_outc_u_feedbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q23ss_outc_u_feedbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q23ss_outc_u_feedbk,I did not,Word completion given starting letter
A21UA6O7ZFAIQJ,22,Q23ss_outc_u_feedbk,I think people would feel uncertainty while working out the problem even with a verifiable best answer as an end result.,Room assignment task
A13FUEPWBCLBUY,8,Q23ss_outc_u_feedbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q23ss_outc_u_feedbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q23ss_outc_u_feedbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q23ss_outc_u_feedbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q23ss_outc_u_feedbk,I had no troubles,Room assignment task
A212OY08MFDGU3,22,Q23ss_outc_u_feedbk,"We are not informed about the goal at the end, a goal to reach, or whether they know the utility score of the students.",Room assignment task
A1I72NHC21347A,8,Q24eureka_q_fdbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q24eureka_q_fdbk,no,Graph coloring task
A1I72NHC21347A,16,Q24eureka_q_fdbk,no,Shopping plan
A1I72NHC21347A,22,Q24eureka_q_fdbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q24eureka_q_fdbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q24eureka_q_fdbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q24eureka_q_fdbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q24eureka_q_fdbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q24eureka_q_fdbk,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q24eureka_q_fdbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q24eureka_q_fdbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q24eureka_q_fdbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q24eureka_q_fdbk,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q24eureka_q_fdbk,I had no troubles,Room assignment task
A1I72NHC21347A,8,Q2intel_manip_fdbk,no,Word completion given starting letter
A1I72NHC21347A,15,Q2intel_manip_fdbk,no,Graph coloring task
A1I72NHC21347A,16,Q2intel_manip_fdbk,no,Shopping plan
A1I72NHC21347A,22,Q2intel_manip_fdbk,no,Room assignment task
A1DUPOUC9RNU4L,8,Q2intel_manip_fdbk,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q2intel_manip_fdbk,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q2intel_manip_fdbk,no,Shopping plan
A1DUPOUC9RNU4L,22,Q2intel_manip_fdbk,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q2intel_manip_fdbk,I did not,Word completion given starting letter
A21UA6O7ZFAIQJ,16,Q2intel_manip_fdbk,"Do we include the actual trips to the store, or is this a wholly theoretic exercise about shopping done on paper?",Shopping plan
A13FUEPWBCLBUY,8,Q2intel_manip_fdbk,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q2intel_manip_fdbk,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q2intel_manip_fdbk,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q2intel_manip_fdbk,no trouble,Room assignment task
A6JKKANO7F4KD,16,Q2intel_manip_fdbk,"There's a bit of uncertainty about whether or not participants have to actually carry out the shopping trip, or just plan it. If the latter, then my physical effort fraction would be much lower",Shopping plan
A27W025UEXS1G0,16,Q2intel_manip_fdbk,Which end of the line is physical and which end is mental?,Shopping plan
A2VRDE2FHCBMF8,22,Q2intel_manip_fdbk,I had no troubles,Room assignment task
A341XKSRZ58FJK,15,Q2intel_manip_fdbk,"My answers have been the same for this question throughout, because I feel a minimum of writing, typing, or mouse clicks would count towards this physical effort. It is miniscule, but still there.",Graph coloring task
A341XKSRZ58FJK,22,Q2intel_manip_fdbk,"It seems curious to use the word ""fraction"" when dealing with a decimal. Mixed message?",Room assignment task
A212OY08MFDGU3,16,Q2intel_manip_fdbk,No,Shopping plan
A1PJLZSOUQ4MIL,8,Q2intel_manip_fdbk,no,Word completion given starting letter
A1I72NHC21347A,8,Q3type_1_feedback,no,Word completion given starting letter
A1I72NHC21347A,15,Q3type_1_feedback,no,Graph coloring task
A1I72NHC21347A,16,Q3type_1_feedback,no,Shopping plan
A1I72NHC21347A,22,Q3type_1_feedback,no,Room assignment task
A1DUPOUC9RNU4L,8,Q3type_1_feedback,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q3type_1_feedback,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q3type_1_feedback,no,Shopping plan
A1DUPOUC9RNU4L,22,Q3type_1_feedback,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q3type_1_feedback,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q3type_1_feedback,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q3type_1_feedback,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q3type_1_feedback,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q3type_1_feedback,no trouble,Room assignment task
A2IP3ZAFYGV8M9,15,Q3type_1_feedback,"I feel like there is a certain amount of thought in coming up with a way to do this task effectively, but I am not sure it quite fits in with the provided definition for what ""planning"" would entail, so I am leaning slightly towards ""no"".",Graph coloring task
A2VRDE2FHCBMF8,22,Q3type_1_feedback,I had no troubles,Room assignment task
A2871R3LEPWMMK,22,Q3type_1_feedback,"While this sort of task seems to have a variety of outcomes if one is following the rulesets, there logically appears to be one optimal outcome. So, I do feel this task requires planning in the sense that there will be a ruleset about the placement of people regardless if those rules change from situation to situation.",Room assignment task
A1PJLZSOUQ4MIL,8,Q3type_1_feedback,no,Word completion given starting letter
A1I72NHC21347A,8,Q4type_2_feedbck,no,Word completion given starting letter
A1I72NHC21347A,15,Q4type_2_feedbck,no,Graph coloring task
A1I72NHC21347A,16,Q4type_2_feedbck,no,Shopping plan
A1I72NHC21347A,22,Q4type_2_feedbck,no,Room assignment task
A1DUPOUC9RNU4L,8,Q4type_2_feedbck,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q4type_2_feedbck,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q4type_2_feedbck,no,Shopping plan
A1DUPOUC9RNU4L,22,Q4type_2_feedbck,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q4type_2_feedbck,"It is a generating task, but not about generating ideas.  I would say it's a generating task if the info about ""ideas"" wasn't included.",Word completion given starting letter
A13FUEPWBCLBUY,8,Q4type_2_feedbck,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q4type_2_feedbck,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q4type_2_feedbck,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q4type_2_feedbck,no trouble,Room assignment task
A2VRDE2FHCBMF8,22,Q4type_2_feedbck,I had no troubles,Room assignment task
A2871R3LEPWMMK,22,Q4type_2_feedbck,"While I do believe this task could involve some creative solutions to outcomes, there are rulesets which restrain the range of options available.",Room assignment task
A1I72NHC21347A,8,Q5creativity_feedbck,no,Word completion given starting letter
A1I72NHC21347A,15,Q5creativity_feedbck,no,Graph coloring task
A1I72NHC21347A,16,Q5creativity_feedbck,no,Shopping plan
A1I72NHC21347A,22,Q5creativity_feedbck,no,Room assignment task
A1DUPOUC9RNU4L,8,Q5creativity_feedbck,no,Word completion given starting letter
A1DUPOUC9RNU4L,15,Q5creativity_feedbck,no,Graph coloring task
A1DUPOUC9RNU4L,16,Q5creativity_feedbck,no,Shopping plan
A1DUPOUC9RNU4L,22,Q5creativity_feedbck,no,Room assignment task
A21UA6O7ZFAIQJ,8,Q5creativity_feedbck,I did not,Word completion given starting letter
A13FUEPWBCLBUY,8,Q5creativity_feedbck,no trouble,Word completion given starting letter
A13FUEPWBCLBUY,15,Q5creativity_feedbck,no trouble,Graph coloring task
A13FUEPWBCLBUY,16,Q5creativity_feedbck,no trouble,Shopping plan
A13FUEPWBCLBUY,22,Q5creativity_feedbck,no trouble,Room assignment task
